WTCH_YM,ENN_LNN_MNTH_AVG_ANOMALY,ENN_LNN_3MNTH_AVG_ANOMALY,ENN_LNN_MNTH_AVG_VAL,ENN_LNN_NMYR_AVG,ENN_LNN_NMYR_STDDEV_VAL,UOM_NM
198606,-0.333944,-0.31423,27.330921,27.664865,0.627709,deg C
198607,-0.027505,-0.046708,27.216112,27.243618,0.677102,deg C
198608,0.221324,0.208344,27.056652,26.835327,0.818931,deg C
198609,0.431212,0.398948,27.126478,26.695267,0.834961,deg C
198610,0.544307,0.511128,27.243256,26.69895,1.01164,deg C
198611,0.557866,0.653262,27.314157,26.75629,1.177667,deg C
198612,0.857613,0.80128,27.434452,26.57684,1.219633,deg C
198701,0.988363,0.89943,27.482971,26.494608,1.164648,deg C
198702,0.852316,0.921276,27.520147,26.667831,1.007264,deg C
198703,0.92315,0.747801,28.103443,27.180296,0.817327,deg C
198704,0.467939,0.576657,28.239176,27.771236,0.657626,deg C
198705,0.338882,0.523962,28.180288,27.841408,0.614643,deg C
198706,0.765065,0.72952,28.42993,27.664865,0.627709,deg C
198707,1.084614,1.029134,28.328232,27.243618,0.677102,deg C
198708,1.237723,1.224018,28.073051,26.835327,0.818931,deg C
198709,1.349717,1.190651,28.044985,26.695267,0.834961,deg C
198710,0.984513,1.060993,27.683462,26.69895,1.01164,deg C
198711,0.848749,0.866352,27.605042,26.75629,1.177667,deg C
198712,0.765793,0.763732,27.342632,26.57684,1.219633,deg C
198801,0.676654,0.552569,27.171263,26.494608,1.164648,deg C
198802,0.21526,0.311417,26.883091,26.667831,1.007264,deg C
198803,0.042336,-0.112943,27.222631,27.180296,0.817327,deg C
198804,-0.596424,-0.662022,27.174812,27.771236,0.657626,deg C
198805,-1.431978,-1.27105,26.40943,27.841408,0.614643,deg C
198806,-1.784749,-1.669386,25.880116,27.664865,0.627709,deg C
198807,-1.79143,-1.681087,25.452188,27.243618,0.677102,deg C
198808,-1.467084,-1.399843,25.368244,26.835327,0.818931,deg C
198809,-0.941017,-1.495719,25.754251,26.695267,0.834961,deg C
198810,-2.079057,-1.769194,24.619892,26.69895,1.01164,deg C
198811,-2.287509,-2.143547,24.468782,26.75629,1.177667,deg C
198812,-2.064074,-2.132596,24.512766,26.57684,1.219633,deg C
198901,-2.046206,-1.871339,24.448402,26.494608,1.164648,deg C
198902,-1.503736,-1.677795,25.164095,26.667831,1.007264,deg C
198903,-1.483442,-1.448993,25.696854,27.180296,0.817327,deg C
198904,-1.359801,-1.2532,26.411436,27.771236,0.657626,deg C
198905,-0.916358,-0.983333,26.925049,27.841408,0.614643,deg C
198906,-0.673839,-0.717526,26.991026,27.664865,0.627709,deg C
198907,-0.56238,-0.647845,26.681238,27.243618,0.677102,deg C
198908,-0.707315,-0.589829,26.128014,26.835327,0.818931,deg C
198909,-0.499792,-0.587813,26.195477,26.695267,0.834961,deg C
198910,-0.556332,-0.561165,26.142616,26.69895,1.01164,deg C
198911,-0.62737,-0.456851,26.128922,26.75629,1.177667,deg C
198912,-0.18685,-0.304237,26.38999,26.57684,1.219633,deg C
199001,-0.09849,-0.088772,26.396118,26.494608,1.164648,deg C
